  8383.2: flog total
    28.0: flog/method average

   488.7: main#none
   316.8: Itemmaster::validate_process     ./app/models/itemmaster.rb:36
   223.7: Location::validate_process       ./app/models/location.rb:42
   156.6: PosmaintenanceController#update_position ./app/controllers/posmaintenance_controller.rb:78
   155.6: BayHelper#bay_details            ./app/helpers/bay_helper.rb:139
   140.9: Slottingrecommendation::slott_items ./app/models/slottingrecommendation.rb:60
   135.0: BaysmaintenanceController#create ./app/controllers/baysmaintenance_controller.rb:36
   119.9: LevelmaintenanceController#create ./app/controllers/levelmaintenance_controller.rb:23
   117.0: AislemaintenanceController#create ./app/controllers/aislemaintenance_controller.rb:43
   112.0: BayController#index              ./app/controllers/bay_controller.rb:8
   111.3: SlottingItems#slott_items        ./lib/slott_items.rb:29
   109.5: PosmaintenanceController#create  ./app/controllers/posmaintenance_controller.rb:20
   109.3: Location::update_location_details ./app/models/location.rb:145
   105.5: SlottingrecomaintenanceController#create ./app/controllers/slottingrecomaintenance_controller.rb:31
    99.5: ZonemaintenanceController#create ./app/controllers/zonemaintenance_controller.rb:35
    97.5: UserregistermaintenanceController#create ./app/controllers/userregistermaintenance_controller.rb:22
    94.1: UsermaintenanceController#create ./app/controllers/usermaintenance_controller.rb:21
    93.0: PositionController#show          ./app/controllers/position_controller.rb:3
    90.9: create_table#itemerrors          ./db/schema.rb:107
    90.9: create_table#locationerrors      ./db/schema.rb:249
    87.9: PosmaintenanceController#get_header_details ./app/controllers/posmaintenance_controller.rb:148
    85.3: LocationmaintenanceController#index ./app/controllers/locationmaintenance_controller.rb:5
    81.4: CreateItemerrors#up              ./db/migrate/20131222155906_create_itemerrors.rb:2
    81.4: CreateLocationerrors#up          ./db/migrate/20130830203908_create_locationerrors.rb:2
    80.4: WarehousemaintenanceController#create ./app/controllers/warehousemaintenance_controller.rb:28
    75.1: LevelmaintenanceController#edit_level_details ./app/controllers/levelmaintenance_controller.rb:84
    74.9: CopyObject::update_position      ./lib/copy_object.rb:218
    74.8: Zone::zigzag_sequence_with_aisle ./app/models/zone.rb:135
    74.0: BaysmaintenanceController#edit_bays_details ./app/controllers/baysmaintenance_controller.rb:98
    71.7: SlottingrecomaintenanceController#edit_slotting_reco_details ./app/controllers/slottingrecomaintenance_controller.rb:89
    70.0: ZonemaintenanceController#edit_zones_details ./app/controllers/zonemaintenance_controller.rb:85
    69.2: LevelmaintenanceController#get_header_details ./app/controllers/levelmaintenance_controller.rb:156
    69.0: PosmaintenanceHelper#pos_jqgrid  ./public/assets/posmaintenance_helper.rb:4
    66.2: create_table#locations           ./db/schema.rb:321
    62.2: ItemerrorController#reprocess    ./app/controllers/itemerror_controller.rb:76
    59.6: WarehousemaintenanceController#edit_warehouse_details ./app/controllers/warehousemaintenance_controller.rb:72
    58.6: LocationMovement#exchange_location ./lib/location_move.rb:5
    57.1: AislemaintenanceController#edit_aisle_details ./app/controllers/aislemaintenance_controller.rb:97
    56.9: ClientController#create          ./app/controllers/client_controller.rb:24
    56.8: LocationerrorController#reprocess ./app/controllers/locationerror_controller.rb:76
    53.6: PositionHelper#poistion_tooltip  ./app/helpers/position_helper.rb:3
    53.4: BaysmaintenanceController#get_header_details ./app/controllers/baysmaintenance_controller.rb:168
    51.4: CreateLocations#up               ./db/migrate/20130822235034_create_locations.rb:2
    51.3: LocationerrorController#create   ./app/controllers/locationerror_controller.rb:38
    51.3: ItemerrorController#create       ./app/controllers/itemerror_controller.rb:38
    50.6: create_table#itemmasters         ./db/schema.rb:179
    49.4: AislemaintenanceHelper#aisle_jqgrid ./app/helpers/aislemaintenance_helper.rb:5
    46.7: create_table#positions           ./db/schema.rb:374
    44.7: BaysmaintenanceHelper#bays_jqgrid ./app/helpers/baysmaintenance_helper.rb:5
    44.1: CopyObject::copy_BaytoBay        ./lib/copy_object.rb:88
    42.1: Location::is_row_valid           ./app/models/location.rb:109
    41.8: CreatePositions#up               ./db/migrate/20130727055618_create_positions.rb:2
    41.5: create_table#users               ./db/schema.rb:458
    40.0: UploadfileController#get_searchstring ./app/controllers/uploadfile_controller.rb:22
